ColonyID,Colour,Day,InNestFrames,TotalFrames,Treatment,InfectionLoad,InfectionStatus,AssignmentRate,OutNestFrames,OutNestRatio
C_3,BG,2,125549,130065,C,0,uninfected,0.903229166666667,4516,0.0347211009879676
C_3,BR,2,121185,129214,C,0,uninfected,0.897319444444444,8029,0.0621372297119507
C_3,GG,2,116508,132158,C,0,uninfected,0.917763888888889,15650,0.118418862270918
C_3,GR,2,64271,125001,C,0,uninfected,0.8680625,60730,0.485836113311093
C_3,RB,2,127469,129732,C,0,uninfected,0.900916666666667,2263,0.0174436530694046
C_3,RG,2,117830,129156,C,0,uninfected,0.896916666666667,11326,0.0876924029855369
C_3,RR,2,122296,133931,C,0,uninfected,0.930076388888889,11635,0.0868730913679432
C_3,BB,3,41091,139079,C,0,uninfected,0.965826388888889,97988,0.704549213037195
C_3,BG,3,115329,129274,C,0,uninfected,0.897736111111111,13945,0.107871652459118
C_3,BR,3,112188,128918,C,0,uninfected,0.895263888888889,16730,0.12977241347213
C_3,GG,3,59999,129875,C,0,uninfected,0.901909722222222,69876,0.538025024061598
C_3,GR,3,79474,134871,C,0,uninfected,0.936604166666667,55397,0.410740633642518
C_3,RB,3,127780,133650,C,0,uninfected,0.928125,5870,0.0439206883651328
C_3,RG,3,100532,125256,C,0,uninfected,0.869833333333333,24724,0.197387749888229
C_3,RR,3,114789,128852,C,0,uninfected,0.894805555555556,14063,0.109140719585261
C_3,BB,4,92019,125055,C,0,uninfected,0.8684375,33036,0.264171764423654
C_3,BG,4,116329,121522,C,0,uninfected,0.843902777777778,5193,0.042733003077632
C_3,BR,4,104122,119633,C,0,uninfected,0.830784722222222,15511,0.129654861116916
C_3,GG,4,89902,119886,C,0,uninfected,0.832541666666667,29984,0.2501042657191
C_3,GR,4,103378,128897,C,0,uninfected,0.895118055555556,25519,0.197979782306803
C_3,RB,4,110915,115561,C,0,uninfected,0.802506944444444,4646,0.0402038750097351
C_3,RG,4,76833,123022,C,0,uninfected,0.854319444444444,46189,0.375453170977549
C_3,RR,4,109206,116283,C,0,uninfected,0.807520833333333,7077,0.0608601429271691
