ColonyID,Colour,Day,AssignmentRate,MeanSpeed,MedianSpeed,InNestFrame,OutNestFrame,TotalFrame,OutNestRatio,InfectionStatus,InfectionLoad,Treatment
C_5,RB,1,0.942571759259259,0.987121870626368,0.62975686471438,781273,33109,814382,0.0406553681196294,uninfected,0,C
C_5,RG,1,0.927099537037037,0.715853624004172,0.242375017215778,746501,54513,801014,0.068054990299795,uninfected,0,C
C_5,RR,1,0.882453703703704,1.11245831190601,0.807837213734007,740804,21636,762440,0.0283773149362573,uninfected,0,C
C_6,BB,1,0.951751157407407,1.4939175743731,0.98625579409982,685547,136766,822313,0.166318664547441,uninfected,0,C
C_6,BG,1,0.966855324074074,0.697154164538444,0.362191310951781,776492,58871,835363,0.0704735546103909,uninfected,0,C
C_6,BR,1,0.956884259259259,1.36622735041302,1.00454416676285,700453,126295,826748,0.152761179948424,uninfected,0,C
C_6,GG,1,0.98296412037037,1.56798776489015,0.96544849922678,618239,231042,849281,0.272044235064719,uninfected,0,C
C_6,GR,1,0.938193287037037,1.23964641923144,0.866237062974559,729723,80876,810599,0.0997731307341855,uninfected,0,C
C_6,RB,1,0.961425925925926,0.723875864772556,0.374414546837875,728339,102333,830672,0.123193029258239,uninfected,0,C
C_6,RG,1,0.955234953703704,1.33877019473197,0.972384008159448,752193,73130,825323,0.0886077329724241,uninfected,0,C
C_6,RR,1,0.978409722222222,2.21723155224189,2.17741688263496,548425,296921,845346,0.351241976658078,uninfected,0,C
C_7,BB,1,0.98766087962963,1.63562792123976,1.13549494205602,626991,226348,853339,0.26524980107554,uninfected,0,C
C_7,BG,1,0.97365162037037,2.02958108439229,1.83175640403837,372499,468736,841235,0.557199831200556,uninfected,0,C
C_7,BR,1,0.978287037037037,1.8505688289636,1.48352543088461,596907,248333,845240,0.293801760446737,uninfected,0,C
C_7,GG,1,0.98753125,1.38331694013288,0.924365611071995,733385,119842,853227,0.140457346052106,uninfected,0,C
