ColonyID,Colour,Day,AssignmentRate,MeanSpeed,InNestFrame,OutNestFrame,TotalFrame,OutNestRatio,InfectionStatus,InfectionLoad,Treatment
C_6,RB,1,0.961425925925926,0.39914241689034,604897,102161,707058,0.144487439502841,uninfected,0,C
C_6,RG,1,0.955234953703704,0.530997540627503,591505,72946,664451,0.109783866680914,uninfected,0,C
C_6,RR,1,0.978409722222222,2.39602610145305,424755,290295,715050,0.405978602894902,uninfected,0,C
C_7,BB,1,0.98766087962963,2.0774634805734,555400,226068,781468,0.289286317545952,uninfected,0,C
C_7,BG,1,0.97365162037037,2.2794723807981,302400,468197,770597,0.607576982521344,uninfected,0,C
C_7,BR,1,0.978287037037037,2.68824452667541,522787,248154,770941,0.321884554070934,uninfected,0,C
C_7,GG,1,0.98753125,1.16803704600398,665173,119761,784934,0.152574611368599,uninfected,0,C
C_7,GR,1,0.979746527777778,2.48403627206332,394269,370884,765153,0.484718742526005,uninfected,0,C
C_7,RB,1,0.975208333333333,1.40593934477486,386232,385072,771304,0.499248026718389,uninfected,0,C
C_7,RG,1,0.985261574074074,2.01847075479792,604065,178950,783015,0.228539683147832,uninfected,0,C
C_7,RR,1,0.675488425925926,0.136131579630561,305486,126772,432258,0.293278551235605,uninfected,0,C
C_8,BB,1,0.999103009259259,0.870421758115074,647284,81466,728750,0.111788679245283,uninfected,0,C
C_8,BG,1,0.991949074074074,2.12530276208496,461277,329266,790543,0.416506123006592,uninfected,0,C
C_8,BR,1,0.998149305555556,0.348309317698042,681560,43417,724977,0.0598874171180603,uninfected,0,C
C_8,GG,1,0.995116898148148,1.08918036832928,665877,67137,733014,0.0915903379744452,uninfected,0,C
C_8,GR,1,0.993372685185185,1.35401381959291,641760,94979,736739,0.128918110755641,uninfected,0,C
C_8,RB,1,0.995356481481481,1.57332580744715,643331,99386,742717,0.133814090696726,uninfected,0,C
C_8,RG,1,0.992613425925926,0.680805112292077,653388,61925,715313,0.0865704943150761,uninfected,0,C
C_8,RR,1,0.995974537037037,1.67893794628693,565602,192124,757726,0.253553395290646,uninfected,0,C
C_9,BB,1,0.99866087962963,1.3994705825948,735762,55406,791168,0.0700306382462385,uninfected,0,C
C_9,BG,1,0.989934027777778,1.08190441454214,730508,52283,782791,0.066790497080319,uninfected,0,C
C_9,BR,1,0.982518518518519,0.287038197483915,757828,17392,775220,0.0224349216996466,uninfected,0,C
C_9,GG,1,0.989137731481481,0.294924941130345,759830,17622,777452,0.0226663511059204,uninfected,0,C
C_9,GR,1,0.998457175925926,0.443224847604124,770385,22040,792425,0.0278133577310156,uninfected,0,C
C_9,RB,1,0.992219907407407,0.241114961329847,767385,17510,784895,0.0223087164525191,uninfected,0,C
C_9,RG,1,0.986068287037037,1.31595557381669,734599,62273,796872,0.0781468040036543,uninfected,0,C
C_9,RR,1,0.998793981481481,0.126566556604044,791048,4600,795648,0.00578145109395109,uninfected,0,C
T_1,BB,1,0.982018518518519,0.386556653713682,780024,7591,787615,0.00963795763158396,infected,5,T
T_1,BG,1,0.98294212962963,2.90516851226497,649929,142160,792089,0.179474781243017,infected,12,T
T_1,BR,1,0.98087037037037,2.11116170279001,704346,84955,789301,0.107633209637388,infected,10,T
T_1,GG,1,0.978076388888889,0.615711897815726,752682,20342,773024,0.0263148362793393,infected,3,T
T_1,GR,1,0.981454861111111,1.13590839384263,742116,27175,769291,0.0353247340733221,infected,15,T
T_1,RB,1,0.986951388888889,0.656097423433085,766130,17712,783842,0.0225963905991258,infected,8,T
T_1,RG,1,0.990873842592593,2.37632140848301,728843,67874,796717,0.0851921071095508,infected,5,T
T_1,RR,1,0.930141203703704,0.429341913029728,547521,204797,752318,0.27222132130296,infected,NaN,T
T_10,BB,1,0.946568287037037,0.0941162131544882,692583,31806,724389,0.0439073481237291,infected,3,T
T_10,BG,1,0.941780092592593,0.122633142872622,702308,17267,719575,0.0239961088142306,infected,0,T
T_10,BR,1,0.957482638888889,0.118952534000913,700106,31613,731719,0.0432037435135619,infected,10,T
T_10,GG,1,0.941952546296296,0.0503369715524617,687736,26337,714073,0.0368827836929838,infected,0,T
T_10,GR,1,0.959349537037037,0.235108892626758,707757,36620,744377,0.049195501741725,infected,5,T
T_10,RB,1,0.945163194444444,0.0931290229138017,693567,28305,721872,0.0392105525633353,infected,NaN,T
T_10,RG,1,0.958658564814815,0.107474106504335,701148,32725,733873,0.0445921842062591,infected,12,T
T_10,RR,1,0.960694444444444,0.0847323493774661,720001,17470,737471,0.0236890670955197,infected,4,T
T_2,BB,1,0.950392361111111,0.111221803197564,748054,3018,751072,0.00401825657193984,infected,17,T
T_2,BG,1,0.950861111111111,1.20943409678952,713837,43510,757347,0.0574505477674038,infected,5,T
T_2,BR,1,0.957322916666667,0.219248039044698,751603,34920,786523,0.044397938776107,infected,NaN,T
T_2,GG,1,0.9373125,0.198743416878197,737659,8246,745905,0.011055027114713,infected,5,T
T_2,GR,1,0.936699074074074,0.209689363554086,736473,5585,742058,0.00752636586358479,infected,6,T
T_2,RB,1,0.957586805555556,1.03429597890719,733998,28731,762729,0.0376686870434978,infected,21,T
T_2,RG,1,0.948133101851852,0.338110104221628,734121,11453,745574,0.0153613189301129,infected,22,T
T_2,RR,1,0.936719907407407,0.0944101047667019,734822,2505,737327,0.00339740712058557,infected,9,T
T_3,BB,1,0.979153935185185,0.109919319027888,706981,124643,831624,0.149879031870172,infected,15,T
T_3,BG,1,0.965265046296296,0.153961740860967,680011,139863,819874,0.170590846886229,infected,7,T
T_3,BR,1,0.993042824074074,0.0393493375398972,728471,115106,843577,0.136449903209784,infected,5,T
T_3,GG,1,0.979153935185185,0.0525790516516531,679202,152963,832165,0.18381330625537,infected,9,T
T_3,GR,1,0.979153935185185,0.0493822030850424,668447,163644,832091,0.196665989657381,infected,18,T
T_3,RB,1,0.979153935185185,0.0410537840449776,698857,133118,831975,0.160002403918387,infected,11,T
T_3,RG,1,0.979153935185185,0.0896962237014256,697090,135907,832997,0.163154249054919,infected,8,T
T_3,RR,1,0.979153935185185,0.0535820717605103,703623,127953,831576,0.153868077000779,infected,11,T
T_4,BB,1,0.996271990740741,0.27070452911482,695369,20717,716086,0.0289308826034862,infected,7,T
T_4,BG,1,0.999065972222222,0.90252935051867,667437,57427,724864,0.0792245165989758,infected,7,T
T_4,BR,1,0.995253472222222,2.30529180801943,556339,179013,735352,0.24343851651998,infected,NaN,T
T_4,GG,1,0.983976851851852,0.0816450548632018,712647,3547,716194,0.00495256871741455,infected,16,T
T_4,GR,1,0.972320601851852,0.148236790753844,685562,8003,693565,0.0115389329046304,infected,NaN,T
T_4,RB,1,0.983628472222222,1.55355292238095,615780,113164,728944,0.155243749862815,infected,5,T
T_4,RG,1,0.996027777777778,1.41709781939041,642267,123843,766110,0.161651721032228,infected,9,T
T_4,RR,1,0.981065972222222,0.362310811871705,679371,20630,700001,0.0294713864694479,infected,12,T
T_5,BB,1,0.947770833333333,0.0748395453683621,640769,6608,647377,0.0102073444067367,infected,11,T
T_5,BG,1,0.934974537037037,0.535575618051852,672578,38269,710847,0.053835776193752,infected,12,T
T_5,BR,1,0.889056712962963,0.0161139934236926,564725,40,564765,7.08259187449647e-05,infected,NaN,T
T_5,GG,1,0.914722222222222,0.287119925771857,596135,31036,627171,0.049485706450075,infected,13,T
