Colour,ColonyID,Treatment,AssignmentRate,InNestFrame,TotalFrame,InNestRatio,OutNestFrame,OutNestRatio,InfectionStatus,InfectionLoad,ColonyTreatmentAntInfectionStatus
GR,T_2,T,0.858863425925926,738334,742058,0.994981524355239,3724,0.00501847564476088,infected,6,T_infected
RB,T_2,T,0.882788194444444,737796,762729,0.967310801084002,24933,0.0326891989159976,infected,21,T_infected
RG,T_2,T,0.86293287037037,736327,745574,0.987597475233847,9247,0.0124025247661533,infected,22,T_infected
RR,T_2,T,0.853387731481482,735220,737327,0.997142380517735,2107,0.00285761948226504,infected,9,T_infected
BB,T_3,T,0.962527777777778,708414,831624,0.851844102623301,123210,0.148155897376699,infected,15,T_infected
BG,T_3,T,0.948928240740741,681705,819874,0.831475324257142,138169,0.168524675742858,infected,7,T_infected
BR,T_3,T,0.976362268518518,728787,843577,0.86392469211465,114790,0.13607530788535,infected,5,T_infected
GG,T_3,T,0.963153935185185,680215,832165,0.817404000408573,151950,0.182595999591427,infected,9,T_infected
GR,T_3,T,0.963068287037037,669164,832091,0.80419569494202,162927,0.19580430505798,infected,18,T_infected
RB,T_3,T,0.962934027777778,699391,831975,0.840639442290934,132584,0.159360557709066,infected,11,T_infected
RG,T_3,T,0.964116898148148,698941,832997,0.839067847783365,134056,0.160932152216635,infected,8,T_infected
RR,T_3,T,0.962472222222222,704374,831576,0.84703502746592,127202,0.15296497253408,infected,11,T_infected
BB,T_4,T,0.828803240740741,705181,716086,0.984771382208282,10905,0.0152286177917178,infected,7,T_infected
BG,T_4,T,0.838962962962963,680652,724864,0.939006489493202,44212,0.0609935105067985,infected,7,T_infected
BR,T_4,T,0.851101851851852,586924,735352,0.798153809332129,148428,0.201846190667871,infected,NaN,T_infected
GG,T_4,T,0.828928240740741,714055,716194,0.997013379056513,2139,0.00298662094348734,infected,16,T_infected
GR,T_4,T,0.802737268518519,688329,693565,0.99245059943913,5236,0.00754940056087028,infected,NaN,T_infected
RB,T_4,T,0.843685185185185,634346,728944,0.870225970719287,94598,0.129774029280713,infected,5,T_infected
RG,T_4,T,0.886701388888889,676426,766110,0.882935870827949,89684,0.117064129172051,infected,9,T_infected
RR,T_4,T,0.810186342592593,685976,700001,0.979964314336694,14025,0.0200356856633062,infected,12,T_infected
BB,T_5,T,0.749278935185185,644049,647377,0.994859255117188,3328,0.00514074488281169,infected,11,T_infected
BG,T_5,T,0.822739583333333,690266,710847,0.971047215504884,20581,0.0289527844951164,infected,12,T_infected
BR,T_5,T,0.653663194444444,564765,564765,1,0,0,infected,NaN,T_infected
GG,T_5,T,0.725892361111111,607792,627171,0.969100931006057,19379,0.0308990689939427,infected,13,T_infected
GR,T_5,T,0.746686342592593,644309,645137,0.998716551678171,828,0.00128344832182936,infected,5,T_infected
RB,T_5,T,0.785642361111111,665445,678795,0.98033279561576,13350,0.0196672043842397,infected,7,T_infected
RG,T_5,T,0.781104166666667,657336,674874,0.974012926857458,17538,0.0259870731425421,infected,22,T_infected
RR,T_5,T,0.774583333333333,605470,669240,0.904712808558962,63770,0.0952871914410376,infected,10,T_infected
BB,T_6,T,0.821328703703704,682948,709628,0.962402836415699,26680,0.0375971635843005,infected,15,T_infected
BG,T_6,T,0.855783564814815,724539,739397,0.979905247113526,14858,0.0200947528864737,infected,NaN,T_infected
BR,T_6,T,0.810738425925926,683142,700478,0.975251185618963,17336,0.0247488143810369,infected,7,T_infected
GG,T_6,T,0.750416666666667,623256,648360,0.961280769942624,25104,0.0387192300573755,infected,4,T_infected
GR,T_6,T,0.690190972222222,575599,596325,0.965243784848866,20726,0.034756215151134,infected,3,T_infected
RB,T_6,T,0.615894675925926,526265,532133,0.98897268164162,5868,0.0110273183583803,infected,NaN,T_infected
RG,T_6,T,0.727596064814815,614840,628643,0.978043181901334,13803,0.0219568180986665,infected,12,T_infected
RR,T_6,T,0.817459490740741,643124,706285,0.910572927359352,63161,0.0894270726406479,infected,10,T_infected
BB,T_7,T,0.847832175925926,628845,732527,0.858459824689056,103682,0.141540175310944,infected,12,T_infected
BG,T_7,T,0.854914351851852,635072,738646,0.859778567811915,103574,0.140221432188085,infected,17,T_infected
BR,T_7,T,0.840583333333333,617097,726264,0.849686890717425,109167,0.150313109282575,infected,3,T_infected
GG,T_7,T,0.84146875,641670,727029,0.882592028653603,85359,0.117407971346397,infected,10,T_infected
GR,T_7,T,0.856043981481482,619622,739622,0.837754961318079,120000,0.162245038681921,infected,6,T_infected
RB,T_7,T,0.85599537037037,612855,739580,0.82865274885746,126725,0.17134725114254,infected,5,T_infected
RG,T_7,T,0.840650462962963,691158,726322,0.951586211074427,35164,0.0484137889255729,infected,NaN,T_infected
RR,T_7,T,0.842185185185185,595012,727648,0.817719556708738,132636,0.182280443291262,infected,4,T_infected
BB,T_8,T,0.869793981481481,749871,751502,0.997829679761331,1631,0.0021703202386687,infected,NaN,T_infected
BG,T_8,T,0.861800925925926,740696,744596,0.994762260339835,3900,0.00523773966016472,infected,7,T_infected
BR,T_8,T,0.878413194444444,757474,758949,0.998056522902066,1475,0.00194347709793408,infected,2,T_infected
GG,T_8,T,0.890355324074074,756577,769267,0.983503776972105,12690,0.0164962230278954,infected,5,T_infected
GR,T_8,T,0.890804398148148,721968,769655,0.938041070349702,47687,0.0619589296502978,infected,2,T_infected
RB,T_8,T,0.850488425925926,733393,734822,0.998055311354314,1429,0.00194468864568564,infected,0,T_infected
RG,T_8,T,0.872516203703704,745807,753854,0.989325519265004,8047,0.0106744807349964,infected,13,T_infected
RR,T_8,T,0.8416875,722365,727218,0.993326622828368,4853,0.00667337717163219,infected,12,T_infected
BB,T_9,T,0.818677083333333,701539,707337,0.991803058513834,5798,0.00819694148616568,infected,1,T_infected
BG,T_9,T,0.82871875,709946,716013,0.99152669015786,6067,0.00847330984213979,infected,2,T_infected
BR,T_9,T,0.820337962962963,706293,708772,0.996502401336396,2479,0.00349759866360411,infected,3,T_infected
GG,T_9,T,0.76746412037037,656121,663089,0.989491606707395,6968,0.0105083932926048,infected,3,T_infected
GR,T_9,T,0.841297453703704,716871,726881,0.986228832504908,10010,0.013771167495092,infected,12,T_infected
RB,T_9,T,0.862627314814815,728646,745310,0.977641518294401,16664,0.0223584817055991,infected,8,T_infected
RG,T_9,T,0.81855787037037,701706,707234,0.992183633705393,5528,0.00781636629460691,infected,25,T_infected
RR,T_9,T,0.827837962962963,679239,715252,0.949649913596886,36013,0.0503500864031139,infected,5,T_infected
BB,X_1,X,0.985461805555556,851417,851439,0.999974161390305,22,2.58386096948504e-05,infected,8,X_infected
BG,X_1,X,0.985487268518519,850047,851461,0.998339324995508,1414,0.0016606750044923,uninfected,0,X_uninfected
BR,X_1,X,0.985310185185185,849876,851308,0.998317882599482,1432,0.00168211740051782,uninfected,0,X_uninfected
GG,X_1,X,0.985010416666667,850602,851049,0.999474765847795,447,0.000525234152205067,infected,4,X_infected
GR,X_1,X,0.984438657407407,847271,850555,0.996138991599603,3284,0.00386100840039738,uninfected,0,X_uninfected
RB,X_1,X,0.98537962962963,850436,851368,0.998905291248908,932,0.00109470875109241,uninfected,0,X_uninfected
RG,X_1,X,0.985971064814815,845768,851879,0.992826446009351,6111,0.0071735539906489,infected,NaN,X_infected
RR,X_1,X,0.98524537037037,849450,851252,0.997883118042601,1802,0.00211688195739923,infected,NaN,X_infected
BB,X_10,X,0.605796296296296,521341,523408,0.99605088191239,2067,0.00394911808761045,uninfected,0,X_uninfected
BG,X_10,X,0.610203703703704,446029,527216,0.846008087766684,81187,0.153991912233316,infected,7,X_infected
BR,X_10,X,0.560861111111111,435281,484584,0.898257061727172,49303,0.101742938272828,infected,0,X_infected
GG,X_10,X,0.595239583333333,513116,514287,0.997723061247902,1171,0.00227693875209756,uninfected,0,X_uninfected
GR,X_10,X,0.525171296296296,451196,453748,0.994375732785599,2552,0.0056242672144009,infected,12,X_infected
RB,X_10,X,0.577828703703704,498777,499244,0.999064585653508,467,0.000935414346491914,infected,8,X_infected
RG,X_10,X,0.613659722222222,525433,530202,0.991005314955432,4769,0.00899468504456791,uninfected,0,X_uninfected
RR,X_10,X,0.543539351851852,459215,469618,0.977847953017133,10403,0.0221520469828669,uninfected,0,X_uninfected
BB,X_2,X,0.95584837962963,804191,825853,0.973770150377852,21662,0.0262298496221482,infected,11,X_infected
BG,X_2,X,0.948525462962963,808916,819526,0.987053491896535,10610,0.0129465081034646,uninfected,0,X_uninfected
